word	lemma	method
то	то	lem
аякъларыны	аякъларыны	lem
окъугъан	окъугъан	lem
аля	аля	lem
ачылды	ачылды	lem
тюшюнджеге	тюшюнджеге	lem
балаларыны	балаларыны	lem
апте	апте	lem
умакъ	умакъ	lem
мераметсизсинъ	мераметсизсинъ	lem
осюмлигине	осюмлигине	lem
хитап	хитап	lem
олгъанында	олгъанында	lem
усулны	усулны	lem
къулланалар	къулланалар	lem
къартана	къартана	lem
къартбабамыз	къартбабамыз	lem
эттылер	эттылер	lem
къомшу	къомшу	lem
башымда	башымда	lem
башым	башым	lem
руслар	руслар	lem
дюньягъа	дюньягъа	lem
юрегим	юрегим	lem
тилим	тилим	lem
акъкъым	акъкъым	lem
къаве	къаве	lem
эллерини	эллерини	lem
къыбланы	къыбланы	lem
косьтер	косьтер	lem
хутбе	хутбе	lem
гт	гт	lem
ювасынынъ	ювасынынъ	lem
къатлайып	къатлайып	lem
олду	олду	lem
анъламай	анъламай	lem
акъылымы	акъылымы	lem
къыйыгъым	къыйыгъым	lem
фесим	фесим	lem
къатсам	къатсам	lem
олмагъа	олмагъа	lem
япайым	япайым	lem
къуйругъум	къуйругъум	lem
урай	урай	lem
билля	билля	lem
озюми	озюми	lem
дегильде	дегильде	lem
къансыджакъ	къансыджакъ	lem
махлюкълардан	махлюкълардан	lem
башлы	башлы	lem
бильмей	бильмей	lem
олардан	олардан	lem
къуйрукълы	къуйрукълы	lem
сыкъ	сыкъ	lem
чекти	чекти	lem
мердивенли	мердивенли	lem
къылгъан	къылгъан	lem
quvançnen	quvançnen	lem
корюльди	корюльди	lem
пенджерининъ	пенджерининъ	lem
якъынлашты	якъынлашты	lem
кюрресини	кюрресини	lem
она	она	lem
багъырайлар	багъырайлар	lem
кедерли	кедерли	lem
уфакъ	уфакъ	lem
расткеле	расткеле	lem
арпа	арпа	lem
япракълар	япракълар	lem
босагъадан	босагъадан	lem
яткъан	яткъан	lem
артымыздан	артымыздан	lem
копек	копек	lem
къылдь	къылдь	lem
ргъан	ргъан	lem
дегильдир	дегильдир	lem
рунлары	рунлары	lem
кёзев	кёзев	lem
къапынъы	къапынъы	lem
ачар	ачар	lem
йылан	йылан	lem
къолайлыкънен	къолайлыкънен	lem
топлады	топлады	lem
йыры	йыры	lem
къыбырдатты	къыбырдатты	lem
ибарет	ибарет	lem
къалсын	къалсын	lem
келинъиз	келинъиз	lem
менден	менден	lem
чаптырынъыз	чаптырынъыз	lem
артга	артга	lem
оюкъль	оюкъль	lem
адымлар	адымлар	lem
анъламагъа	анъламагъа	lem
ишлетильген	ишлетильген	lem
усулнынъ	усулнынъ	lem
усул	усул	lem
ишанчсыз	ишанчсыз	lem
малюматны	малюматны	lem
огренмесин	огренмесин	lem
системаларында	системаларында	lem
sağ	sağ	lem
саялар	саялар	lem
тёшегини	тёшегини	lem
оянда	оянда	lem
урбалары	урбалары	lem
къатлады	къатлады	lem
янъында	янъында	lem
кёзевни	кёзевни	lem
къапынъынъ	къапынъынъ	lem
арасыны	арасыны	lem
тыкъып	тыкъып	lem
сапыннан	сапыннан	lem
къуванды	къуванды	lem
деденинъ	деденинъ	lem
тапчанынъ	тапчанынъ	lem
усулы	усулы	lem
душмандыр	душмандыр	lem
ольдюрейик	ольдюрейик	lem
их	их	lem
дегиллер	дегиллер	lem
язылды	язылды	lem
ла	ла	lem
йылдыз	йылдыз	lem
бирлеринен	бирлеринен	lem
инсанны	инсанны	lem
почта	почта	lem
ичтимаий	ичтимаий	lem
атларыны	атларыны	lem
чаптыралар	чаптыралар	lem
сылтавлашалар	сылтавлашалар	lem
эсасланып	эсасланып	lem
язылгъапдыр	язылгъапдыр	lem
мол	мол	lem
поэмасьг	поэмасьг	lem
масалы	масалы	lem
лордаи	лордаи	lem
алынп	алынп	lem
аи	аи	lem
эсерныден	эсерныден	lem
мнсаль	мнсаль	lem
кетпреннк	кетпреннк	lem
терегини	терегини	lem
шеклинде	шеклинде	lem
тикенли	тикенли	lem
къысымдан	къысымдан	lem
идентификация	идентификация	lem
идентификацияны	идентификацияны	lem
къуллангъанлары	къуллангъанлары	lem
уйкенлер	уйкенлер	lem
беляларымызда	беляларымызда	lem
шейлеринъ	шейлеринъ	lem
бермеди	бермеди	lem
дикъкъатнен	дикъкъатнен	lem
йырларда	йырларда	lem
имкян	имкян	lem
тилькн	тилькн	lem
къояп	къояп	lem
овчпгнп	овчпгнп	lem
электрон	электрон	lem
кутьлевий	кутьлевий	lem
васталарынынъ	васталарынынъ	lem
саифелери	саифелери	lem
банк	банк	lem
эсаплары	эсаплары	lem
малюматнынъ	малюматнынъ	lem
къорулмасы	къорулмасы	lem
малюматларнынъ	малюматларнынъ	lem
сакъланмасы	сакъланмасы	lem
севиелерининъ	севиелерининъ	lem
сайысы	сайысы	lem
ыны	ыны	lem
къабаатлап	къабаатлап	lem
дже	дже	lem
пиширерим	пиширерим	lem
къавурылгъан	къавурылгъан	lem
чекильмиш	чекильмиш	lem
арпам	арпам	lem
олдым	олдым	lem
і	і	lem
кечсе	кечсе	lem
учюнджи	учюнджи	lem
къартныггь	къартныггь	lem
олгъагщжек	олгъагщжек	lem
къошныггь	къошныггь	lem
копеги	копеги	lem
агълай	агълай	lem
пишлейджспш	пишлейджспш	lem
дсди	дсди	lem
тилькичпк	тилькичпк	lem
этди	этди	lem
эвпм	эвпм	lem
алекст	алекст	lem
къараманларымызны	къараманларымызны	lem
алдатып	алдатып	lem
басамакътан	басамакътан	lem
севиелерини	севиелерини	lem
сынав	сынав	lem
клубгъа	клубгъа	lem
сюргюн	сюргюн	lem
этильмесини	этильмесини	lem
эткенлеринде	эткенлеринде	lem
акъаретленем	акъаретленем	lem
сычанчыгъа	сычанчыгъа	lem
бельки	бельки	lem
неге	неге	lem
из	из	lem
кельгенини	кельгенини	lem
дегенлер	дегенлер	lem
оджа	оджа	lem
къуру	къуру	lem
къарайым	къарайым	lem
етеклешип	етеклешип	lem
кстдилер	кстдилер	lem
къоркъам	къоркъам	lem
огърагъанынъы	огърагъанынъы	lem
анъладынъ	анъладынъ	lem
ондан	ондан	lem
меракълы	меракълы	lem
тилькп	тилькп	lem
къобадаи	къобадаи	lem
къошма	къошма	lem
анъламадым	анъламадым	lem
юкугъа	юкугъа	lem
уянгъанда	уянгъанда	lem
этинъиз	этинъиз	lem
йыланнынъ	йыланнынъ	lem
малюмат	малюмат	lem
бедниплпкке	бедниплпкке	lem
джоюлдым	джоюлдым	lem
эвимни	эвимни	lem
тапамайым	тапамайым	lem
олурсызмы	олурсызмы	lem
акъылынъда	акъылынъда	lem
гъафлет	гъафлет	lem
ашайып	ашайып	lem
деселер	деселер	lem
эткендир	эткендир	lem
джеэтипдеи	джеэтипдеи	lem
усулларынен	усулларынен	lem
тпзилншннен	тпзилншннен	lem
фольклорпыиъ	фольклорпыиъ	lem
къьп	къьп	lem
гметли	гметли	lem
джеверлериии	джеверлериии	lem
аиъ	аиъ	lem
эллери	эллери	lem
сагълыкътыр	сагълыкътыр	lem
мизни	мизни	lem
ювамыз	ювамыз	lem
сеяатчылардыр	сеяатчылардыр	lem
меселя	меселя	lem
тарлаларымызда	тарлаларымызда	lem
багъчаларымызда	багъчаларымызда	lem
расткельген	расткельген	lem
кутюпханеге	кутюпханеге	lem
тырмашкъан	тырмашкъан	lem
пардошнен	пардошнен	lem
башта	башта	lem
къоркъудан	къоркъудан	lem
эсими	эсими	lem
къоркъу	къоркъу	lem
къуйругъы	къуйругъы	lem
кечмек	кечмек	lem
сагъ	сагъ	lem
отлатмагъа	отлатмагъа	lem
алъш	алъш	lem
укюминде	укюминде	lem
онъгъангъаярыгеджеденурджаваэкен	онъгъангъаярыгеджеденурджаваэкен	lem
боран	боран	lem
джигени	джигени	lem
къылычынен	къылычынен	lem
аркъадашларына	аркъадашларына	lem
денъизлерде	денъизлерде	lem
учалар	учалар	lem
океаныны	океаныны	lem
километрден	километрден	lem
месафени	месафени	lem
кечелер	кечелер	lem
сеяатыны	сеяатыны	lem
эким	эким	lem
улькелерге	улькелерге	lem
чыкъалар	чыкъалар	lem
адаларында	адаларында	lem
токътайлар	токътайлар	lem
таба	таба	lem
иджат	иджат	lem
къоба	къоба	lem
демир	демир	lem
аркъадашлар	аркъадашлар	lem
дува	дува	lem
сененъизни	сененъизни	lem
девпрпнде	девпрпнде	lem
эткеп	эткеп	lem
языджылары	языджылары	lem
гонълю	гонълю	lem
къыяфети	къыяфети	lem
олгъанларны	олгъанларны	lem
сыджакъкъа	сыджакъкъа	lem
къалсалар	къалсалар	lem
ушюселер	ушюселер	lem
кунештен	кунештен	lem
сыджакълыкъ	сыджакълыкъ	lem
пардошлары	пардошлары	lem
таныйым	таныйым	lem
акъыллы	акъыллы	lem
тюшип	тюшип	lem
ёлда	ёлда	lem
геджеден	геджеден	lem
танъ	танъ	lem
аткъандже	аткъандже	lem
атымыз	атымыз	lem
бешев	бешев	lem
мыздан	мыздан	lem
ачалар	ачалар	lem
ушюмемек	ушюмемек	lem
зарар	зарар	lem
кетирмезлер	кетирмезлер	lem
ашамадынъмы	ашамадынъмы	lem
оиг	оиг	lem
яттым	яттым	lem
дедим	дедим	lem
ешиль	ешиль	lem
дигерлери	дигерлери	lem
яратыджылыгъыпдан	яратыджылыгъыпдан	lem
файдалапып	файдалапып	lem
беден	беден	lem
къурсакъларыны	къурсакъларыны	lem
кунешке	кунешке	lem
ерлештирип	ерлештирип	lem
сырычыкъкъа	сырычыкъкъа	lem
отуралар	отуралар	lem
елькъанатнынъ	елькъанатнынъ	lem
фаэтоны	фаэтоны	lem
раскетирдим	раскетирдим	lem
къоркътым	къоркътым	lem
къабугъу	къабугъу	lem
къурутулмыш	къурутулмыш	lem
топлымнынъ	топлымнынъ	lem
дегенде	дегенде	lem
сенинъкидир	сенинъкидир	lem
дпин	дпин	lem
яраталар	яраталар	lem
балкъурт	балкъурт	lem
сепети	сепети	lem
тушюндым	тушюндым	lem
уяндынъ	уяндынъ	lem
кельдим	кельдим	lem
япылгъан	япылгъан	lem
арбпй	арбпй	lem
сёзлерп	сёзлерп	lem
адлары	адлары	lem
a	a	lem
аркъадашларьшынъ	аркъадашларьшынъ	lem
йылангъа	йылангъа	lem
соавторлыкъта	соавторлыкъта	lem
эфсапесине	эфсапесине	lem
эсаслапып	эсаслапып	lem
тишлеримизни	тишлеримизни	lem
темизлеймиз	темизлеймиз	lem
къуванчнен	къуванчнен	lem
спирт	спирт	lem
чырагъында	чырагъында	lem
копюклю	копюклю	lem
къавесини	къавесини	lem
къабартты	къабартты	lem
пелит	пелит	lem
фындыкънынъ	фындыкънынъ	lem
феслеринден	феслеринден	lem
фильджанчыкълара	фильджанчыкълара	lem
тёкти	тёкти	lem
къалгъан	къалгъан	lem
якъкъа	якъкъа	lem
эдебиятыныпъ	эдебиятыныпъ	lem
тарпхыида	тарпхыида	lem
шпириеп	шпириеп	lem
бпрпнджи	бпрпнджи	lem
музыкалы	музыкалы	lem
драмасыны	драмасыны	lem
эвим	эвим	lem
олдылар	олдылар	lem
уеге	уеге	lem
сыгъмай	сыгъмай	lem
къызым	къызым	lem
день	день	lem
ювагъа	ювагъа	lem
едиси	едиси	lem
даркъай	даркъай	lem
йьшанны	йьшанны	lem
олъдюрелер	олъдюрелер	lem
дагъгьа	дагъгьа	lem
къарамапы	къарамапы	lem
орманны	орманны	lem
года	года	lem
нами	нами	lem
было	было	lem
рядом	рядом	lem
бабушки	бабушки	lem
дедушки	дедушки	lem
менили	менили	lem
соседи	соседи	lem
тетя	тетя	lem
дядя	дядя	lem
русские	русские	lem
нацио	нацио	lem
нальности	нальности	lem
сей	сей	lem
дают	дают	lem
любовь	любовь	lem
заботу	заботу	lem
которую	которую	lem
пожалели	пожалели	lem
бы	бы	lem
своих	своих	lem
вну	вну	lem
ков	ков	lem
как	как	lem
мне	мне	lem
становится	становится	lem
обидно	обидно	lem
взрослые	взрослые	lem
порой	порой	lem
обвиняют	обвиняют	lem
русский	русский	lem
многих	многих	lem
бедах	бедах	lem
требуя	требуя	lem
наказания	наказания	lem
изгнания	изгнания	lem
дуймагъандым	дуймагъандым	lem
b	b	lem
олара	олара	lem
озьлери	озьлери	lem
сол	сол	lem
аваны	аваны	lem
воспоминаниям	воспоминаниям	lem
родителей	родителей	lem
время	время	lem
нашего	нашего	lem
переезда	переезда	lem
году	году	lem
город	город	lem
отноше	отноше	lem
ния	ния	lem
крымскими	крымскими	lem
были	были	lem
очень	очень	lem
натянуты	натянуты	lem
хусусында	хусусында	lem
бундан	бундан	lem
анъладым	анъладым	lem
алдылар	алдылар	lem
ичти	ичти	lem
алыны	алыны	lem
себеби	себеби	lem
башынынъ	башынынъ	lem
къобагъа	къобагъа	lem
олъдюрип	олъдюрип	lem
первых	первых	lem
папе	папе	lem
къавени	къавени	lem
чалышкъан	чалышкъан	lem
дженк	дженк	lem
быракъып	быракъып	lem
далып	далып	lem
озьлерини	озьлерини	lem
вакъиаларны	вакъиаларны	lem
котердилер	котердилер	lem
ачмагъа	ачмагъа	lem
къысметинъ	къысметинъ	lem
ибрет	ибрет	lem
алдынъызмы	алдынъызмы	lem
айтамыз	айтамыз	lem
ддд	ддд	lem
динъле	динъле	lem
кормедигъим	кормедигъим	lem
кочкендир	кочкендир	lem
ябанджи	ябанджи	lem
тюшкендир	тюшкендир	lem
фесфеселенип	фесфеселенип	lem
юкъладым	юкъладым	lem
вакъыя	вакъыя	lem
къапысынъы	къапысынъы	lem
этийим	этийим	lem
анъларым	анъларым	lem
юкъунынъ	юкъунынъ	lem
тамырдыр	тамырдыр	lem
денъишмелер	денъишмелер	lem
кечтлер	кечтлер	lem
оракъ	оракъ	lem
ырымджылары	ырымджылары	lem
маалелерде	маалелерде	lem
тамырлары	тамырлары	lem
къалдыралар	къалдыралар	lem
сокъакъларда	сокъакъларда	lem
турлю	турлю	lem
юкъусына	юкъусына	lem
далай	далай	lem
керчекчи	керчекчи	lem
кечирдинъ	кечирдинъ	lem
дуймайлар	дуймайлар	lem
дерсин	дерсин	lem
бильмейип	бильмейип	lem
къалыйлар	къалыйлар	lem
юкъусунъа	юкъусунъа	lem
далгъанларыны	далгъанларыны	lem
кезийлер	кезийлер	lem
инанайлар	инанайлар	lem
япайлар	япайлар	lem
олгъанларыны	олгъанларыны	lem
унутыйлар	унутыйлар	lem
амбары	амбары	lem
ябанджылар	ябанджылар	lem
баштаки	баштаки	lem
саиблеринден	саиблеринден	lem
кеттылер	кеттылер	lem
чалышкъанлары	чалышкъанлары	lem
къуваладылар	къуваладылар	lem
юваларыны	юваларыны	lem
къачтылар	къачтылар	lem
дагъ	дагъ	lem
кире	кире	lem
тарихий	тарихий	lem
вакъиалар	вакъиалар	lem
корьдим	корьдим	lem
шеэр	шеэр	lem
языкъ	языкъ	lem
конкрет	конкрет	lem
вакъпаларнен	вакъпаларнен	lem
адларынен	адларынен	lem
ныры	ныры	lem
йырлариыпъ	йырлариыпъ	lem
муидери	муидери	lem
джеси	джеси	lem
аятыпда	аятыпда	lem
омюрпнде	омюрпнде	lem
вакъпалариеп	вакъпалариеп	lem
тарихпй	тарихпй	lem
реалистик	реалистик	lem
тасвнрлев	тасвнрлев	lem
устюнлик	устюнлик	lem
арттырув	арттырув	lem
усуллары	усуллары	lem
фантастика	фантастика	lem
дереджедеднр	дереджедеднр	lem
умумнйлештп	умумнйлештп	lem
рплпп	рплпп	lem
аятыиен	аятыиен	lem
шахсларнынт	шахсларнынт	lem
адларыпеи	адларыпеи	lem
шахсныиъ	шахсныиъ	lem
эксплуатациягъа	эксплуатациягъа	lem
огъратылгъаиы	огъратылгъаиы	lem
халкъынынъ	халкъынынъ	lem
аягьымыз	аягьымыз	lem
билляхи	билляхи	lem
минеш	минеш	lem
шейтанир	шейтанир	lem
раджим	раджим	lem
демеккерек	демеккерек	lem
миз	миз	lem
луеге	луеге	lem
йауз	йауз	lem
басып	басып	lem
вакъиаларгъа	вакъиаларгъа	lem
аманлыкъ	аманлыкъ	lem
кеттилер	кеттилер	lem
инсанлары	инсанлары	lem
къылыч	къылыч	lem
оламадыкъ	оламадыкъ	lem
бахтсызлыгъы	бахтсызлыгъы	lem
тасвнрлепе	тасвнрлепе	lem
шахснынъ	шахснынъ	lem
курешн	курешн	lem
сас	сас	lem
арекети	арекети	lem
аяттаки	аяттаки	lem
муиасе	муиасе	lem
бетп	бетп	lem
косьтернле	косьтернле	lem
нляхри	нляхри	lem
аягъымызнен	аягъымызнен	lem
саге	саге	lem
бирбирлеринден	бирбирлеринден	lem
огърашыйлар	огърашыйлар	lem
давалашыйлар	давалашыйлар	lem
догъры	догъры	lem
ишкир	ишкир	lem
асылзаде	асылзаде	lem
сачмалата	сачмалата	lem
копчек	копчек	lem
кесерек	кесерек	lem
оджам	оджам	lem
ханым	ханым	lem
чапып	чапып	lem
він	він	lem
ольдюрдик	ольдюрдик	lem
мына	мына	lem
бирисининъ	бирисининъ	lem
къуйругьы	къуйругьы	lem
ольдюрип	ольдюрип	lem
умумийлештнрильгеп	умумийлештнрильгеп	lem
образы	образы	lem
тасвирлепген	тасвирлепген	lem
вакъналаргъа	вакъналаргъа	lem
къыйметпни	къыйметпни	lem
мупасебетпни	мупасебетпни	lem
бпльднре	бпльднре	lem
хпй	хпй	lem
йырларныиъ	йырларныиъ	lem
лекснкасы	лекснкасы	lem
йырларгъа	йырларгъа	lem
ннсбетё	ннсбетё	lem
фаркълыдыр	фаркълыдыр	lem
терминологпя	терминологпя	lem
кпрсе	кпрсе	lem
тильген	тильген	lem
ерлернпнъ	ерлернпнъ	lem
анъыла	анъыла	lem
йырьтнда	йырьтнда	lem
запас	запас	lem
топлар	топлар	lem
юзбашлар	юзбашлар	lem
голова	голова	lem
пароход	пароход	lem
японлар	японлар	lem
шнналар	шнналар	lem
отступлеыпе	отступлеыпе	lem
къуллаыыла	къуллаыыла	lem
чыкъамыз	чыкъамыз	lem
сычанларда	сычанларда	lem
дегишмеди	дегишмеди	lem
саиблерини	саиблерини	lem
эглендирейлер	эглендирейлер	lem
юкълайып	юкълайып	lem
ахлякъсызлыкълары	ахлякъсызлыкълары	lem
корьмедигинъ	корьмедигинъ	lem
факъат	факъат	lem
корьдинъми	корьдинъми	lem
текрар	текрар	lem
авада	авада	lem
мене	мене	lem
про	про	lem
балалыгъым	балалыгъым	lem
атлылар	атлылар	lem
афта	афта	lem
ялынъыз	ялынъыз	lem
йетапйтё	йетапйтё	lem
ерагеп	ерагеп	lem
тюшлер	тюшлер	lem
такъат	такъат	lem
енъи	енъи	lem
ничюн	ничюн	lem
дефа	дефа	lem
вакъытында	вакъытында	lem
лакъырды	лакъырды	lem
його	його	lem
яшымыз	яшымыз	lem
сенсинъ	сенсинъ	lem
башымыз	башымыз	lem
ювая	ювая	lem
ьа	ьа	lem
вк	вк	lem
мызны	мызны	lem
кесемиз	кесемиз	lem
ювунамыэ	ювунамыэ	lem
азд	азд	lem
ан	ан	lem
спорт	спорт	lem
огърашамыз	огърашамыз	lem
апкоу	апкоу	lem
ba	ba	lem
эттим	эттим	lem
отурып	отурып	lem
азачыкъ	азачыкъ	lem
ап	ап	lem
иш	иш	lem
тюшюнде	тюшюнде	lem
ge	ge	lem
огюнде	огюнде	lem
нефес	нефес	lem
із	із	lem
уегу	уегу	lem
уаз	уаз	lem
корьсен	корьсен	lem
темизленесинъ	темизленесинъ	lem
эсин	эсин	lem
fa	fa	lem
ona	ona	lem
корюнди	корюнди	lem
узерине	узерине	lem
мектепте	мектепте	lem
дикъкъат	дикъкъат	lem
тылсымлы	тылсымлы	lem
этсен	этсен	lem
ниает	ниает	lem
яшында	яшында	lem
кучюк	кучюк	lem
мені	мені	lem
одасына	одасына	lem
койде	койде	lem
тюшти	тюшти	lem
даима	даима	lem
баштан	баштан	lem
узакъ	узакъ	lem
азретлери	азретлери	lem
аякъкъа	аякъкъа	lem
від	від	lem
тюшелер	тюшелер	lem
теменна	теменна	lem
икеясини	икеясини	lem
ёкъмы	ёкъмы	lem
бетке	бетке	lem
котере	котере	lem
козь	козь	lem
кулюмсиреди	кулюмсиреди	lem
агъанынъ	агъанынъ	lem
керекмиз	керекмиз	lem
эдинъиз	эдинъиз	lem
арбий	арбий	lem
экенини	экенини	lem
везир	везир	lem
корюнмеген	корюнмеген	lem
севиеде	севиеде	lem
ичине	ичине	lem
сорадым	сорадым	lem
заманларда	заманларда	lem
устюндеки	устюндеки	lem
таш	таш	lem
муаллим	муаллим	lem
кишилер	кишилер	lem
софагъа	софагъа	lem
нефрет	нефрет	lem
буны	буны	lem
сонъундан	сонъундан	lem
тосат	тосат	lem
оле	оле	lem
оджалар	оджалар	lem
огли	огли	lem
шиирлер	шиирлер	lem
башлагъан	башлагъан	lem
дие	дие	lem
докъуз	докъуз	lem
ама	ама	lem
сизинъ	сизинъ	lem
эльбет	эльбет	lem
истедим	истедим	lem
ильки	ильки	lem
сказав	сказав	lem
балабаньгаъыз	балабаньгаъыз	lem
апс	апс	lem
апсе	апсе	lem
аг	аг	lem
дуогк	дуогк	lem
токъмакъ	токъмакъ	lem
иштракчилеры	иштракчилеры	lem
гизлений	гизлений	lem
яманлыкъ	яманлыкъ	lem
чокълашкъанда	чокълашкъанда	lem
такъатлана	такъатлана	lem
аллар	аллар	lem
къоруйджылары	къоруйджылары	lem
топлым	топлым	lem
айырмадлар	айырмадлар	lem
топлымы	топлымы	lem
енмек	енмек	lem
элимизден	элимизден	lem
козьлере	козьлере	lem
курештир	курештир	lem
эйлигимиз	эйлигимиз	lem
яхшылыгъымыз	яхшылыгъымыз	lem
дуйгъуларымыз	дуйгъуларымыз	lem
топлымыгъа	топлымыгъа	lem
тырышмакъ	тырышмакъ	lem
nm	nm	lem
мектепке	мектепке	lem
къолай	къолай	lem
къар	къар	lem
икяе	икяе	lem
бильмейим	бильмейим	lem
кетмек	кетмек	lem
аджеба	аджеба	lem
було	було	lem
d	d	lem
fe	fe	lem
i	i	lem
сувукъ	сувукъ	lem
къалдым	къалдым	lem
гедже	гедже	lem
гетман	гетман	lem
огге	огге	lem
берильди	берильди	lem
оданынъ	оданынъ	lem
ишке	ишке	lem
къапу	къапу	lem
истеп	истеп	lem
ишарет	ишарет	lem
агъам	агъам	lem
так	так	lem
pepc	pepc	lem
e	e	lem
gen	gen	lem
зиярет	зиярет	lem
янындаки	янындаки	lem
койлю	койлю	lem
онъ	онъ	lem
кой	кой	lem
бинъ	бинъ	lem
бейнинъ	бейнинъ	lem
кельгенлер	кельгенлер	lem
мешгъуль	мешгъуль	lem
козьден	козьден	lem
огюндеки	огюндеки	lem
апансыздан	апансыздан	lem
ярым	ярым	lem
истеди	истеди	lem
алчакъ	алчакъ	lem
эеджанлы	эеджанлы	lem
рухсет	рухсет	lem
огълум	огълум	lem
билем	билем	lem
тюшюндим	тюшюндим	lem
дагълар	дагълар	lem
енгиль	енгиль	lem
олмагъанда	олмагъанда	lem
мусафир	мусафир	lem
индемеди	индемеди	lem
акимиет	акимиет	lem
акимиети	акимиети	lem
сёзге	сёзге	lem
къапыдан	къапыдан	lem
ири	ири	lem
риджа	риджа	lem
экиси	экиси	lem
оламадым	оламадым	lem
эписини	эписини	lem
юзюнде	юзюнде	lem
ихтияр	ихтияр	lem
истеген	истеген	lem
козьлери	козьлери	lem
окъудым	окъудым	lem
юре	юре	lem
узеринде	узеринде	lem
индемей	индемей	lem
бильмек	бильмек	lem
этсем	этсем	lem
артыкъ	артыкъ	lem
котерди	котерди	lem
ис	ис	lem
меселе	меселе	lem
эсап	эсап	lem
ойлеми	ойлеми	lem
бугунь	бугунь	lem
башымны	башымны	lem
алидженап	алидженап	lem
еринден	еринден	lem
отургъан	отургъан	lem
арекет	арекет	lem
все	все	lem
вже	вже	lem
уло	уло	lem
къатнама	къатнама	lem
тёпеден	тёпеден	lem
кутюпханеден	кутюпханеден	lem
пардошлар	пардошлар	lem
азалары	азалары	lem
ишлеры	ишлеры	lem
кутюпханелерге	кутюпханелерге	lem
вазифе	вазифе	lem
заманлардан	заманлардан	lem
китабыны	китабыны	lem
тапмагъа	тапмагъа	lem
тамырларнынъ	тамырларнынъ	lem
такъатыны	такъатыны	lem
корюмини	корюмини	lem
анъги	анъги	lem
огренсен	огренсен	lem
китабы	китабы	lem
арамагъа	арамагъа	lem
яланы	яланы	lem
богъмагъа	богъмагъа	lem
инанмасанъ	инанмасанъ	lem
этерсинъ	этерсинъ	lem
bbls	bbls	lem
um	um	lem
эвельси	эвельси	lem
чыкътыкъ	чыкътыкъ	lem
ёлуны	ёлуны	lem
чакъырым	чакъырым	lem
таныдым	таныдым	lem
дегилим	дегилим	lem
тюрк	тюрк	lem
кечип	кечип	lem
туралар	туралар	lem
мектеп	мектеп	lem
йигирми	йигирми	lem
иляве	иляве	lem
вакъытымда	вакъытымда	lem
токътады	токътады	lem
хош	хош	lem
талай	талай	lem
сусты	сусты	lem
сёзлерни	сёзлерни	lem
сорап	сорап	lem
эляк	эляк	lem
бирер	бирер	lem
устюнден	устюнден	lem
къарлы	къарлы	lem
давушы	давушы	lem
турдым	турдым	lem
къапуны	къапуны	lem
кульди	кульди	lem
куньде	куньде	lem
къызарды	къызарды	lem
мудири	мудири	lem
сёзлерини	сёзлерини	lem
гуджи	гуджи	lem
марум	марум	lem
оджалыкъ	оджалыкъ	lem
кирдик	кирдик	lem
шуралар	шуралар	lem
акъырын	акъырын	lem
эфендининъ	эфендининъ	lem
чи	чи	lem
щось	щось	lem
кечтик	кечтик	lem
бухар	бухар	lem
чыплакъ	чыплакъ	lem
койнинъ	койнинъ	lem
гуя	гуя	lem
экенде	экенде	lem
къалкъып	къалкъып	lem
фильджан	фильджан	lem
менде	менде	lem
къалын	къалын	lem
кийимли	кийимли	lem
ичтик	ичтик	lem
четке	четке	lem
шеэрге	шеэрге	lem
ода	ода	lem
ред	ред	lem
аджет	аджет	lem
денъишти	денъишти	lem
истемейим	истемейим	lem
урьмет	урьмет	lem
догърулды	догърулды	lem
ёллады	ёллады	lem
давушнен	давушнен	lem
къайда	къайда	lem
емек	емек	lem
бакътым	бакътым	lem
манасыны	манасыны	lem
ичинден	ичинден	lem
бойлу	бойлу	lem
ачып	ачып	lem
кеттим	кеттим	lem
кийик	кийик	lem
санки	санки	lem
сездим	сездим	lem
бакъ	бакъ	lem
малюм	малюм	lem
тому	тому	lem
два	два	lem
ні	ні	lem
справи	справи	lem
ne	ne	lem
ana	ana	lem
ap	ap	lem
c	c	lem
къыдырдым	къыдырдым	lem
олмалы	олмалы	lem
дегильми	дегильми	lem
дегирмени	дегирмени	lem
къаялыкъ	къаялыкъ	lem
бенъзей	бенъзей	lem
тапып	тапып	lem
якъы	якъы	lem
бери	бери	lem
астында	астында	lem
эвлернинъ	эвлернинъ	lem
къызы	къызы	lem
къайсы	къайсы	lem
еримден	еримден	lem
барды	барды	lem
таби	таби	lem
къысымы	къысымы	lem
солгъа	солгъа	lem
токъталды	токъталды	lem
эслеп	эслеп	lem
ренкли	ренкли	lem
булунгъан	булунгъан	lem
токъталып	токъталып	lem
турмакъта	турмакъта	lem
сезильди	сезильди	lem
етишмей	етишмей	lem
урьметли	урьметли	lem
кеч	кеч	lem
девамлы	девамлы	lem
къабул	къабул	lem
кенъ	кенъ	lem
адамгъа	адамгъа	lem
девирде	девирде	lem
адамнынъ	адамнынъ	lem
айтмакъ	айтмакъ	lem
вам	вам	lem
софа	софа	lem
эппи	эппи	lem
элинен	элинен	lem
эсир	эсир	lem
итираз	итираз	lem
узериндеки	узериндеки	lem
саат	саат	lem
эвеля	эвеля	lem
зевкълы	зевкълы	lem
бирининъ	бирининъ	lem
бердим	бердим	lem
эльде	эльде	lem
талайдан	талайдан	lem
шеэрден	шеэрден	lem
тик	тик	lem
акъа	акъа	lem
изаат	изаат	lem
